Class,accident_type,evidence,uplift,s2_2_importance,CRI_Score,matched_details
A,Hwy-rail crossing,"{'Signalization': 'Signaled', 'Passengers Transported': 'Yes'}",0.4917579932464532,0.0,0.4918679544931231,Signalization=Signaled(Score:0.0000); Passengers Transported=Yes(Score:0.0000)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Rear End Remote Locomotives': '0'}",0.4835856342360491,0.00022781579,0.4910313495648739,Passengers Transported=Yes(Score:0.0000); Rear End Remote Locomotives(Score:0.0005)
A,Rear end collision,"{'Equipment Attended': 'No', 'Equipment Type': 'Single Car'}",0.0665508637288388,0.01307417535,0.4880435622397371,Equipment Attended=No(Score:0.0231); Equipment Type=Single Car(Score:0.0030)
A,Hwy-rail crossing,"{'Equipment Attended': 'Yes', 'Passengers Transported': 'Yes'}",0.486946141497787,0.0,0.4870133244403572,Equipment Attended=Yes(Score:0.0000); Passengers Transported=Yes(Score:0.0000)
A,Hwy-rail crossing,{'Passengers Transported': 'Yes'},0.4837650817363464,0.0,0.4838039844348564,Passengers Transported=Yes(Score:0.0000)
A,Hwy-rail crossing,"{'Signalization': 'nan', 'Passengers Transported': 'Yes'}",0.4836073928797103,0.0,0.4836448936934128,Signalization=nan(N/A); Passengers Transported=Yes(Score:0.0000)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Method of Operation': 'nan'}",0.4836040718484829,0.0,0.48364154313756763,Passengers Transported=Yes(Score:0.0000); Method of Operation=nan(N/A)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Hazmat Cars Damaged': '0'}",0.4835444793640476,0.0,0.4835814208642788,Passengers Transported=Yes(Score:0.0000); Hazmat Cars Damaged=0(N/A)
A,Hwy-rail crossing,"{'Passengers Transported': 'Yes', 'Adjunct Name 1': 'nan'}",0.4832834550562618,0.0,0.483318075999294,Passengers Transported=Yes(Score:0.0000); Adjunct Name 1=nan(N/A)
A,Derailment,"{'Visibility': 'Day', 'Equipment Type': 'Freight Train'}",0.1562066789298571,0.00964785225,0.46707483747742795,Visibility=Day(Score:0.0070); Equipment Type=Freight Train(Score:0.0123)
A,Other impacts,"{'First Car Position': '1.0', 'Equipment Type': 'Single Car'}",0.2296618809451954,0.00724637935,0.4630888747211642,First Car Position(Score:0.0115); Equipment Type=Single Car(Score:0.0030)
A,Side collision,"{'Track Type': 'Yard', 'Equipment Type': 'Cut of cars'}",0.1424161113285192,0.009759769849999999,0.4568011500249447,Track Type=Yard(Score:0.0184); Equipment Type=Cut of cars(Score:0.0011)
